"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2011","9.2125","9.2612","9.2730","9.1773","","-0.50%"
"08/29/2011","9.2587","9.2574","9.2849","9.2377","","0.00%"
"08/26/2011","9.2587","9.1829","9.2627","9.1514","","0.78%"
"08/25/2011","9.1868","9.2057","9.2505","9.1556","","-0.21%"
"08/24/2011","9.2064","9.2322","9.2522","9.1898","","-0.32%"
"08/23/2011","9.2361","9.1885","9.2760","9.1841","","0.53%"
"08/22/2011","9.1878","9.1864","9.2406","9.1785","","-0.13%"
"08/19/2011","9.1998","9.1507","9.2380","9.1219","","0.53%"
"08/18/2011","9.1514","9.2118","9.2347","9.1160","","-0.74%"
"08/17/2011","9.2195","9.1904","9.2733","9.1516","","0.28%"
"08/16/2011","9.1936","9.2306","9.2394","9.1616","","-0.39%"
"08/15/2011","9.2300","9.1101","9.2519","9.1127","","1.39%"
"08/12/2011","9.1033","9.1037","9.1326","9.0496","","-0.03%"
"08/11/2011","9.1056","9.0874","9.1413","9.0178","","0.12%"
"08/10/2011","9.0945","9.2553","9.2579","9.0885","","-1.57%"
"08/09/2011","9.2392","9.1179","9.2482","9.1068","","1.30%"
"08/08/2011","9.1205","9.2634","9.2675","9.0926","","-0.83%"
"08/05/2011","9.1965","9.0752","9.2092","9.0494","","1.31%"
"08/04/2011","9.0778","9.2199","9.2466","9.0706","","-1.49%"
"08/03/2011","9.2154","9.1309","9.2303","9.1077","","0.87%"
"08/02/2011","9.1360","9.1751","9.1962","9.1102","","-0.39%"
"08/01/2011","9.1719","9.2389","9.2999","9.1265","","-1.00%"
"07/29/2011","9.2646","9.2292","9.2776","9.1585","","0.36%"
"07/28/2011","9.2311","9.2591","9.2774","9.1821","","-0.25%"
"07/27/2011","9.2539","9.3486","9.3629","9.2388","","-0.99%"
"07/26/2011","9.3467","9.2646","9.3583","9.2513","","0.90%"
"07/25/2011","9.2633","9.2802","9.2877","9.2336","","0.11%"
"07/22/2011","9.2532","9.3066","9.3106","9.2343","","-0.56%"
"07/21/2011","9.3053","9.1860","9.3200","9.1257","","1.36%"
"07/20/2011","9.1802","9.1446","9.1943","9.1243","","0.36%"
"07/19/2011","9.1472","9.1210","9.1891","9.0991","","0.25%"
"07/18/2011","9.1242","9.1201","9.1361","9.0628","","-0.20%"
"07/15/2011","9.1423","9.1337","9.1715","9.1056","","0.08%"
"07/14/2011","9.1350","9.1748","9.2372","9.1180","","-0.38%"
"07/13/2011","9.1703","9.0433","9.1916","9.0291","","1.39%"
"07/12/2011","9.0446","9.0816","9.0971","8.9562","","-0.33%"
"07/11/2011","9.0745","9.1893","9.1981","9.0447","","-1.60%"
"07/08/2011","9.2222","9.2827","9.2925","9.1836","","-0.67%"
"07/07/2011","9.2846","9.2582","9.2955","9.1903","","0.30%"
"07/06/2011","9.2569","9.3257","9.3567","9.2399","","-0.75%"
"07/05/2011","9.3270","9.3976","9.4066","9.3099","","-0.72%"
"07/04/2011","9.3950","9.3994","9.4254","9.3656","","0.08%"
"07/01/2011","9.3877","9.3701","9.4082","9.3328","","0.14%"
"06/30/2011","9.3747","9.3270","9.3980","9.3241","","0.48%"
"06/29/2011","9.3296","9.2914","9.3393","9.2598","","0.38%"
"06/28/2011","9.2940","9.2582","9.3161","9.2110","","0.39%"
"06/27/2011","9.2575","9.1847","9.2668","9.1286","","0.77%"
"06/24/2011","9.1866","9.2234","9.2648","9.1560","","-0.39%"
"06/23/2011","9.2228","9.2620","9.2679","9.1356","","-0.48%"
"06/22/2011","9.2672","9.3070","9.3348","9.2647","","-0.49%"
"06/21/2011","9.3128","9.2588","9.3252","9.2537","","0.60%"
"06/20/2011","9.2569","9.2340","9.2748","9.1863","","0.00%"
"06/17/2011","9.2573","9.2011","9.2800","9.1334","","0.64%"
"06/16/2011","9.1985","9.1775","9.2085","9.1123","","0.21%"
"06/15/2011","9.1788","9.3563","9.3667","9.1770","","-1.90%"
